feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated (log) + family,ensemble,0,0,34.326208690390395,16.907838089962787,0.9336452447000363,318.0,76.49004443224854
curated (log) + family,ensemble,0,1,30.069374330026854,15.321578216019422,0.9421127590265501,317.0,52.820935850412894
curated (log) + family,ensemble,0,2,36.25787095340495,16.60588524722465,0.9043170505406095,317.0,71.14614525881098
curated (log) + family,ensemble,0,3,26.235465300465886,14.488966687669853,0.9406987455808729,317.0,59.57435704938035
curated (log) + family,ensemble,0,4,44.0526631177593,20.968491170768996,0.9058425395623593,317.0,90.60146588635554
curated (log) + family,ensemble,1,0,31.23986536255989,15.805040252373324,0.9474260646007259,318.0,64.67511821924423
curated (log) + family,ensemble,1,1,38.6034565788373,18.37679649239162,0.8974948514742678,317.0,75.34209971331296
curated (log) + family,ensemble,1,2,34.07372179607343,16.948075194849356,0.9221660268964565,317.0,66.98729802147983
curated (log) + family,ensemble,1,3,38.78713905339889,18.28969384189165,0.918580503529089,317.0,88.81169443873775
curated (log) + family,ensemble,1,4,32.320403357638185,15.86578888846307,0.9197178788821221,317.0,72.63153512731421
curated (log) + family,ensemble,2,0,36.29817238963758,17.801292791131075,0.9166813449016397,318.0,76.30189917721417
curated (log) + family,ensemble,2,1,37.6040022200039,17.97245094667126,0.8983287190037251,317.0,81.64398800175141
curated (log) + family,ensemble,2,2,39.902627372958314,17.77479434167487,0.9068314560650935,317.0,89.4776717644477
curated (log) + family,ensemble,2,3,33.07642645866659,15.879335349958925,0.9370522089149306,317.0,70.30093038769242
curated (log) + family,ensemble,2,4,32.66494601769675,16.493590537964977,0.9302930527148305,317.0,62.094998071548126
curated (log) + family,mlp,0,0,35.59265764842558,18.624412239760066,0.9286586686824893,318.0,76.641096190942
curated (log) + family,mlp,0,1,29.653810004123198,15.648118251025867,0.9437017275035688,317.0,48.29021022583508
curated (log) + family,mlp,0,2,41.955382557670234,19.939548228181604,0.87188342287907,317.0,80.76167750508434
curated (log) + family,mlp,0,3,29.506413515972454,16.389535102787924,0.9249899962527872,317.0,63.447334275994976
curated (log) + family,mlp,0,4,56.34911960001665,24.904287990440263,0.8459418527755427,317.0,118.09659345436835
curated (log) + family,mlp,1,0,32.27458014874051,16.119091678992167,0.9438857215477888,318.0,64.81678657257581
curated (log) + family,mlp,1,1,43.921369435033036,19.895919450822305,0.8673079090709924,317.0,87.98603406836459
curated (log) + family,mlp,1,2,36.50991782100644,17.285884730306634,0.9106382295631041,317.0,70.77962906070536
curated (log) + family,mlp,1,3,45.09714484829408,22.54445221951154,0.8899345503703155,317.0,103.08366219854832
