model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,2,34.93783920648824,36.41575943140987
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,2,9.422421418697265,41.29119438058537
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,2,26.40064087075557,36.895615393189686
ensemble,,,curated (log) + family,0,2,21.628714233118345,35.69333315905475
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,3,39.20609962799163,37.67616791804153
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}",0.0,old 12,0,3,21.750817502534897,23.83755199662512
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,3,25.32330760354031,23.297523639227165
ensemble,,,old 12,0,3,25.889336182529433,24.843319880623117
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,0,3,37.461579965026026,32.949679709465066
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}",0.0,curated,0,3,18.232178725401464,25.850956215833772
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,0,3,24.656636791595407,26.109404725439894
ensemble,,,curated,0,3,24.201612631343167,24.773399612132806
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,3,36.61664421147233,31.80093969595169
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}",0.0,curated (log),0,3,18.232178725401464,25.850956215833772
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,3,30.32052777822009,30.423293498241524
ensemble,,,curated (log),0,3,26.12168086003725,27.07692263828663
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}}",,curated (log),0,3,15.903812579140835,27.9100728384234
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,3,36.3028934772695,31.474914406221757
