model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,0,3,18.188811874700683,22.1949811248327
ensemble,,,curated,0,3,14.231695499413787,20.643160043787574
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,3,22.576003035715935,23.688144871436478
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,3,5.394868593131684,19.726753881473083
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,3,18.164907093355893,22.033142544099192
ensemble,,,curated (log),0,3,13.60401528623833,20.16093043914698
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,3,6.155598305882663,20.479652129759845
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,3,21.975256384187926,23.29658535835906
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,3,5.556594733221507,19.776780367941697
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,3,41.70281887752515,38.38209894790204
ensemble,,,curated (log) + family,0,3,18.431016896030645,22.35743714465473
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,4,29.84436068885495,39.04483183317618
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,0,4,9.36212303947264,30.775945664106853
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,4,25.005597391765523,33.616068969267666
ensemble,,,old 12,0,4,18.63269334089543,30.894547968814077
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,4,23.392832961331347,30.35531213531433
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,4,4.4686734910705015,29.46738698393562
