feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated (log),xgboost_per_family,1,4,22.25198533440695,10.972500456690039,0.9303486077309995,249.0,53.51413660580325
curated (log),xgboost_per_family,2,0,24.260192770460332,10.991025126758592,0.925381249287789,251.0,54.6845047298289
curated (log),xgboost_per_family,2,1,24.02720833819649,11.244208607374622,0.9293825497514068,248.0,49.531467097715094
curated (log),xgboost_per_family,2,2,20.96300787102589,10.628516206289063,0.9419891892392643,250.0,45.95792588802129
curated (log),xgboost_per_family,2,3,33.47445883387767,12.424265304492188,0.877264362015425,250.0,84.10623300773999
curated (log),xgboost_per_family,2,4,20.756917127599024,10.46761312411756,0.9270531888000694,249.0,46.60444748369964
curated (log) + family,ensemble,0,0,17.643343332150028,9.946702568893059,0.9604445047886114,251.0,40.258113529035526
curated (log) + family,ensemble,0,1,30.501714322646983,12.099596260382343,0.9008744802881513,250.0,68.75980442041222
curated (log) + family,ensemble,0,2,22.543381623234488,10.654852347959732,0.9044977774559335,250.0,50.10387755109675
curated (log) + family,ensemble,0,3,22.35743714465473,13.218416568534908,0.9376399332538647,250.0,48.71514120643644
curated (log) + family,ensemble,0,4,26.998064175044515,12.118766197729544,0.9150727128318121,250.0,62.25766515616551
curated (log) + family,ensemble,1,0,16.971474604809952,8.997372955202245,0.9673123538508009,251.0,27.82839083942139
curated (log) + family,ensemble,1,1,20.574082773503424,9.799853128148412,0.937397334207647,250.0,47.89235174904077
curated (log) + family,ensemble,1,2,33.68135106323529,11.600838554125126,0.8706428386983873,250.0,84.76213767534746
curated (log) + family,ensemble,1,3,19.730359626537407,10.379449465377457,0.9504279934332435,250.0,36.00711305287226
curated (log) + family,ensemble,1,4,17.89591302029413,9.80701704378822,0.9549140819834796,250.0,38.67000099508318
curated (log) + family,ensemble,2,0,19.611169764869544,9.85087410771857,0.9512396878479656,251.0,40.745149634368424
curated (log) + family,ensemble,2,1,23.7975743167626,10.92734314901533,0.9339351263800937,250.0,54.396972546090446
curated (log) + family,ensemble,2,2,17.507921505435096,10.082462534539712,0.9595358033971962,250.0,32.02610768932199
curated (log) + family,ensemble,2,3,28.556583828080957,11.251199545334826,0.9106784892944255,250.0,71.987434860607
