cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
Pyrithyldione,C77043,,0,no_boiling_point
Raloxifene,,,0,not_found
Resorcinol,C108463,550.0,3,found
Risperidone,,,0,not_found
5'beta-Rotenone,,,0,not_found
Roxarsone,,,0,not_found
DL-Alaninol,,,0,not_found
Salicyl alcohol,C90017,,0,no_boiling_point
Salicylamide,C65452,,0,no_boiling_point
Salmeterol,,,0,not_found
Sebacic Acid,C111206,,0,no_boiling_point
Secobarbital,C76733,,0,no_boiling_point
Risedronic Acid,,,0,not_found
Sotalol,C3930209,,0,no_boiling_point
Spiperone,C749020,,0,no_boiling_point
Stearic Acid,C57114,634.2,2,found
Succinylacetone,,,0,not_found
Sulfabenzamide,C127719,,0,no_boiling_point
Sulfacetamide,C144809,,0,no_boiling_point
Sulfanilamide,C63741,,0,no_boiling_point
Sulfinpyrazone,C57965,,0,no_boiling_point
Sulforaphane,C4478937,,0,no_boiling_point
Sulfoxone,,,0,not_found
Suxibuzone,C27470515,,0,no_boiling_point
Tazarotene,,,0,not_found
Tetroquinone,C319891,,0,no_boiling_point
Thiodiglycol,C111488,,0,no_boiling_point
Thonzylamine,C91850,,0,no_boiling_point
Tiaprofenic Acid,,,0,not_found
Tilorone,,,0,not_found
Tolazamide,C1156190,,0,no_boiling_point
Tolbutamide,C64777,,0,no_boiling_point
Tranexamic acid,C1197188,,0,no_boiling_point
Trazodone,C19794935,,0,no_boiling_point
Triamterene,C396010,,0,no_boiling_point
Trifluperidol,C749133,,0,no_boiling_point
N-Methylnicotinic acid,C535831,,0,no_boiling_point
Trimethadione,C127480,,0,no_boiling_point
Trimethobenzamide,C138567,,0,no_boiling_point
Troglitazone,,,0,not_found
Tropicamide,C1508754,,0,no_boiling_point
2-Thenoyltrifluoroacetone,C326910,,0,no_boiling_point
Tyramine,C51672,,0,no_boiling_point
Tyropanic acid,,,0,not_found
Ulithiacyclamide,,,0,not_found
Urethane,C51796,458.4,2,found
Usnic acid,,,0,not_found
Vesnarinone,,,0,not_found
Pirinixic acid,,,0,not_found
Xanthurenic acid,,,0,not_found
Zonisamide,C68291974,,0,no_boiling_point
Zopiclone,C43200802,,0,no_boiling_point
Dexamethasone,C50022,,0,no_boiling_point
Corticosterone,C50226,,0,no_boiling_point
Hydrocortisone,C50237,,0,no_boiling_point
Prednisolone,C50248,,0,no_boiling_point
Estriol,C50271,,0,no_boiling_point
Estradiol,C50282,,0,no_boiling_point
Phentolamine,,,0,not_found
4-Methylsalicylic acid,C50851,,0,no_boiling_point
Triethylenemelamine,C51183,,0,no_boiling_point
2-Aminophenol,C95556,,0,no_boiling_point
Tiratricol,,,0,not_found
Carbachol,C51832,,0,no_boiling_point
Spironolactone,C52017,,0,no_boiling_point
Cyclobarbital,C52313,,0,no_boiling_point
Aldosterone,C52391,,0,no_boiling_point
Allobarbital,C52437,,0,no_boiling_point
Penicillamine,C52675,,0,no_boiling_point
Tetrahydrocortisol,,,0,not_found
Prednisone,C53032,,0,no_boiling_point
Tetrahydrocortisone,,,0,not_found
Paramethasone,,,0,not_found
Fluprednisolone,,,0,not_found
Oxandrolone,C53394,,0,no_boiling_point
Metaraminol,,,0,not_found
Pentetrazol,C54955,,0,no_boiling_point
Isonicotinic acid,C55221,,0,no_boiling_point
Sulfatropinol,,,0,not_found
Chloramphenicol,C56757,,0,no_boiling_point
Aspartic Acid,,,0,not_found
Glutamine,C56859,,0,no_boiling_point
Sulfamic acid,C5329146,,0,no_boiling_point
Ethinyl Estradiol,C57636,,0,no_boiling_point
Edetic Acid,C60004,,0,no_boiling_point
Veratramine,,,0,not_found
Methoxamine,C390283,,0,no_boiling_point
p-Toluenesulfonic acid,C104154,,0,no_boiling_point
Zoxazolamine,C61803,,0,no_boiling_point
4-Nitrobenzoic Acid,C62237,,0,no_boiling_point
Lipoic acid,C62464,,0,no_boiling_point
2-Aminoisobutyric acid,C62577,,0,no_boiling_point
5'-Cytidylic acid,,,0,not_found
Desoxycortone,C64857,,0,no_boiling_point
Egtazic Acid,,,0,not_found
Barbituric Acid,,,0,not_found
Dimethyl Sulfone,C67710,511.0,1,found
Triaziquone,C68768,,0,no_boiling_point
Benziodarone,,,0,not_found
Hydroxyprogesterone,C68962,,0,no_boiling_point
Mephenoxalone,C70075,,0,no_boiling_point
Dinitrofluorobenzene,C70348,,0,no_boiling_point
Mercaptosuccinic acid,C70495,,0,no_boiling_point
P-Toluenesulfonamide,C70553,,0,no_boiling_point
