cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
4-Methyldocosane,C25117300,,0,no_boiling_point
5-Methyloctadecane,,,0,not_found
5-Methylheneicosane,C25117377,,0,no_boiling_point
5-Methyldocosane,C25163524,,0,no_boiling_point
2-Hexanoylthiophene,C26447676,,0,no_boiling_point
Perfluoroeicosane,C37589574,,0,no_boiling_point
Tetronic acid,C4971566,,0,no_boiling_point
3-Methylhentriacontane,C4981991,,0,no_boiling_point
3-Cyanochromone,,,0,not_found
6-Methyldocosane,C55124817,,0,no_boiling_point
Diphenyltetradecane,,,0,not_found
Nealbarbital,C561831,,0,no_boiling_point
13-Methylheptatriacontane,C56987872,,0,no_boiling_point
15-Methylheptatriacontane,C56987883,,0,no_boiling_point
2-Methylhexanedioic acid,,,0,not_found
Etoxybamide,,,0,not_found
Dipyrone,C68893,,0,no_boiling_point
2-Docosanone,C77327118,,0,no_boiling_point
3-Heptadecanone,C84534292,,0,no_boiling_point
3-Heptadecanol,C84534305,,0,no_boiling_point
Perbenzoic acid,C93594,,0,no_boiling_point
1-Tributylsilyloxydecane,U279147,,0,no_boiling_point
1-Tripropylsilyloxydecane,U279121,,0,no_boiling_point
Trithiacyclohexene,R155032,,0,no_boiling_point
2-Thienylethylthiomethane,R156397,,0,no_boiling_point
Diheptyloxydimethylsilane,U334093,,0,no_boiling_point
Dihexyloxydiethylsilane,U363735,,0,no_boiling_point
Triheptyloxymethylsilane,R160826,,0,no_boiling_point
Trihexyloxyethylsilane,R160831,,0,no_boiling_point
Trihexyloxymethylsilane,R160846,,0,no_boiling_point
Tripentyloxyethylsilane,R160886,,0,no_boiling_point
Tripentyloxymethylsilane,R160891,,0,no_boiling_point
10-Methylpentacosane,R167634,,0,no_boiling_point
11-Methylpentacosane,C15689711,,0,no_boiling_point
12-Methylpentacosane,R167654,,0,no_boiling_point
13-Methylpentacosane,,,0,not_found
2-Methylpentacosane,C629878,,0,no_boiling_point
4-Methylpentacosane,R167763,,0,no_boiling_point
5-Methylpentacosane,R167778,,0,no_boiling_point
6-Methylpentacosane,R167783,,0,no_boiling_point
7-Methylpentacosane,R167798,,0,no_boiling_point
8-Methylpentacosane,R167812,,0,no_boiling_point
9-Methylpentacosane,R167852,,0,no_boiling_point
2-Acetylthietane,R169190,,0,no_boiling_point
10-Methyloctacosane,R179112,,0,no_boiling_point
11-Methyloctacosane,R179167,,0,no_boiling_point
11-Methyltritriacontane,R179172,,0,no_boiling_point
12-Methyltriacontane,R179187,,0,no_boiling_point
14-Methyloctacosane,R179192,,0,no_boiling_point
4-Methyloctacosane,R179345,,0,no_boiling_point
5-Methylheptacosane,R179365,,0,no_boiling_point
Meadowlactone,C110071675,,0,no_boiling_point
2-Ethylthienothiophene,R189238,,0,no_boiling_point
7-Methylnonacosane,R195283,,0,no_boiling_point
5-Methylhentriacontane,R203740,,0,no_boiling_point
5-Methylnonacosane,R203795,,0,no_boiling_point
2-Methyltetracosane,C1560787,,0,no_boiling_point
3-Methyldocosane,R47269,,0,no_boiling_point
3-Methyltetracosane,C65820522,,0,no_boiling_point
4-Methyleicosane,,,0,not_found
4-Methylheneicosane,,,0,not_found
4-Methyltetracosane,R48211,,0,no_boiling_point
4-Methyltricosane,R48261,,0,no_boiling_point
5-Methyleicosane,,,0,not_found
5-Methylnonadecane,,,0,not_found
5-Methyltetracosane,R48225,,0,no_boiling_point
5-Ethylhexadecane,R46762,,0,no_boiling_point
7-Methylheneicosane,,,0,not_found
6-Methylheptadecane,R47497,,0,no_boiling_point
8-Methyldocosane,,,0,not_found
10-Methyltetracosane,R47554,,0,no_boiling_point
9-Methyltricosane,R47568,,0,no_boiling_point
12-Methylhexacosane,R47590,,0,no_boiling_point
5-Ethyloctadecane,R47607,,0,no_boiling_point
12-Butyltricosane,R47867,,0,no_boiling_point
7-Methylnonadecane,R48118,,0,no_boiling_point
3-Methyltricosane,U131182,,0,no_boiling_point
7-Methyltricosane,R48289,,0,no_boiling_point
2-Heneicosanone,,,0,not_found
2-Tricosanone,R84922,,0,no_boiling_point
8-Methyloctadecane,,,0,not_found
11-Methyltricosane,C27538416,,0,no_boiling_point
Norpropoxypheneamide,U123368,,0,no_boiling_point
13-Methylhentriacontane,U131194,,0,no_boiling_point
15-Methyltritriacontane,U131203,,0,no_boiling_point
Trihexylsilyloxybenzene,U299092,,0,no_boiling_point
Trihexylsilyloxyethane,U300000,,0,no_boiling_point
Cyclobutaneoctol,,,0,not_found
1-Heptadecanethiol,C53193229,,0,no_boiling_point
4-Oxodecanoic acid,,,0,not_found
22-Tricosenoic Acid,,,0,not_found
delta-Thionodecalactone,,,0,not_found
1-Chlorodocosane,C42217038,,0,no_boiling_point
1-Chlorononadecane,C62016766,,0,no_boiling_point
3-Tritriacontanone,,,0,not_found
6-Methyltricosane,U131180,,0,no_boiling_point
11-Oxododecanoic acid,,,0,not_found
2-Dotriacontanone,,,0,not_found
2-Pentacosanone,,,0,not_found
2-Heptacosanone,,,0,not_found
2-Nonacosanone,,,0,not_found
2-Tritriacontanone,,,0,not_found
3-Eicosyne,C61886666,,0,no_boiling_point
2-Methoxydecanoic acid,,,0,not_found
Cohulupone,C1891345,,0,no_boiling_point
Tetracosanal,C57866087,,0,no_boiling_point
Carbophenoxon sulfone,C16662876,,0,no_boiling_point
2-Pentanoylthiophene,,,0,not_found
Emmolic acid,,,0,not_found
1-Piperidinetetrolic acid,,,0,not_found
3-Thiopheneboronic acid,,,0,not_found
Demethylvestitol,,,0,not_found
6-Quinazolinol,,,0,not_found
5-Cyanotropolone,,,0,not_found
2-Pteridinol,,,0,not_found
Isovestitol,,,0,not_found
Cyanomelamine,,,0,not_found
6-Methoxynicotinic acid,,,0,not_found
Tetrathiane,,,0,not_found
Sparassol,,,0,not_found
Leiocinol,,,0,not_found
3-Nitroisonicotinamide,,,0,not_found
T-2 toxin tetraol,C34114993,,0,no_boiling_point
Isomucronulatol,,,0,not_found
Tetracyanothiophene,,,0,not_found
4-Acetoxybenzophenone,C13031442,,0,no_boiling_point
Deethylametryne,,,0,not_found
Glaucamine,,,0,not_found
4-Iodohistamine,,,0,not_found
Tolfenamic acid,C13710195,,0,no_boiling_point
4-Hydroxyxanthone,,,0,not_found
2-Chlorothioxanthone,,,0,not_found
Acetylursolic acid,,,0,not_found
16-Bromohexadecanoic acid,,,0,not_found
Tomentosic acid,,,0,not_found
Desmethoxymatteucinol,,,0,not_found
Ovalitenone,,,0,not_found
Prexanthoperol,,,0,not_found
Derrustone,,,0,not_found
Tetramethylkaempferol,,,0,not_found
Fisetin tetramethyl ether,,,0,not_found
Scandinone,,,0,not_found
Carbenoxolone,,,0,not_found
Cefpiramide,,,0,not_found
Gastrol,,,0,not_found
Pongol methyl ether,,,0,not_found
Obyanamide,,,0,not_found
Jervinone,,,0,not_found
alpha-Boswellic acid,,,0,not_found
3-Oxoundecanoic acid,,,0,not_found
Tasiamide,,,0,not_found
Microfolione,,,0,not_found
Elaidic Acid,,,0,not_found
3'-Hydroxycinnamic acid,,,0,not_found
p-Coumaric acid,C7400080,,0,no_boiling_point
3-Methoxycinnamic acid,C6099043,,0,no_boiling_point
Sinapinic acid,C530596,,0,no_boiling_point
1-Nitropropene,,,0,not_found
Mesaconic acid,C498248,,0,no_boiling_point
Trihydroxychalcone,,,0,not_found
4-Nitrostilbene,,,0,not_found
Xanthohumol,,,0,not_found
Hamiltrone,,,0,not_found
Xanthoangelol,,,0,not_found
Ricinoleic acid,C141220,,0,no_boiling_point
cis-Aconitic acid,C585842,,0,no_boiling_point
Citraconic acid,,,0,not_found
Cocaethylene,C529384,,0,no_boiling_point
Cannabidiol,,,0,not_found
Haplamine,,,0,not_found
Trilostane,,,0,not_found
Canrenoic Acid,,,0,not_found
Polidocanol,,,0,not_found
Mitobronitol,,,0,not_found
Lactobacillic acid,,,0,not_found
Dithizone,,,0,not_found
Protionamide,C14222607,,0,no_boiling_point
Dienestrol,C84173,,0,no_boiling_point
Piceatannol,,,0,not_found
2-Mercaptonicotinic Acid,,,0,not_found
6-Thymol,,,0,not_found
Thiobenzamide,C2227794,,0,no_boiling_point
3-Nitrocinnamic acid,C555680,,0,no_boiling_point
cis-Diethylstilbestrol,,,0,not_found
Levdobutamine,,,0,not_found
Dehydrovomifoliol,,,0,not_found
Rhodotorulic acid,,,0,not_found
Caffeic Acid,C331395,,0,no_boiling_point
Pongamol,,,0,not_found
4-Ethoxycinnamic Acid,C2373797,,0,no_boiling_point
cis-Pinonic acid,C473723,,0,no_boiling_point
2-Methoxycinnamic acid,C6099032,,0,no_boiling_point
2-Nitrocinnamic acid,C612419,,0,no_boiling_point
4-Quinazolinethiol,,,0,not_found
Isoferulic acid,C537735,,0,no_boiling_point
3-Methylorsellinic acid,,,0,not_found
Feist'S acid,C499025,,0,no_boiling_point
Urocanic acid,,,0,not_found
4-Methoxythiobenzamide,,,0,not_found
4-Nitrocinnamic acid,C619896,,0,no_boiling_point
N-cyclooctylnicotinamide,,,0,not_found
Ursinoic acid,,,0,not_found
2-Benzyltryptamine,,,0,not_found
4-Chloronicotinic acid,,,0,not_found
4-Nitrobenzopyranone,,,0,not_found
Cinnamylidenemalonic acid,,,0,not_found
Cinnamoyl tryptamine,,,0,not_found
2-Benzoylnicotinic acid,,,0,not_found
trans-Sobrerol,C42370412,,0,no_boiling_point
trans-Thiothixene,,,0,not_found
Thiothixene,C5591457,,0,no_boiling_point
Eszopiclone,,,0,not_found
Durallone,,,0,not_found
Rubemamine,,,0,not_found
cis-Ferulic acid,,,0,not_found
cis-Resveratrol,,,0,not_found
Metiamide,,,0,not_found
cis-Coniferyl alcohol,,,0,not_found
Coniferyl Alcohol,C458355,,0,no_boiling_point
L-Cysteinesulfinic acid,,,0,not_found
cis-Caffeic acid,,,0,not_found
3-Methylglutaconic acid,,,0,not_found
n-Phenethylmaleamic acid,,,0,not_found
N-Acetylglucosamine,C7512176,,0,no_boiling_point
Chlorogenic Acid,,,0,not_found
3R-aminononanoic acid,,,0,not_found
2-Thiobarbituric acid,C504176,,0,no_boiling_point
4-Pyridinecarbothioamide,,,0,not_found
Thioacetamide,C62555,,0,no_boiling_point
Unithiol,,,0,not_found
Tetracosanedioic acid,,,0,not_found
Obovatin methyl ether,,,0,not_found
Dodecafluorosuberic acid,,,0,not_found
Perfluorosebacic acid,,,0,not_found
Thiosemicarbazone,C104063,,0,no_boiling_point
Taurodeoxycholic acid,,,0,not_found
alpha-Tocopherolquinone,,,0,not_found
3-Cyanobenzyl alcohol,,,0,not_found
cis-Epoxysuccinic acid,,,0,not_found
3-Hydrazinobenzoic acid,,,0,not_found
2-Phenoxynicotinamide,,,0,not_found
2-Phenoxyethanethioamide,,,0,not_found
4-Hydroxyheptanoic acid,,,0,not_found
2-Hydroxyheptanoic acid,,,0,not_found
Irenolone,,,0,not_found
Ethionamide,C536334,,0,no_boiling_point
3-Nitroisonicotinic acid,,,0,not_found
Bromoclenbuterol,,,0,not_found
2-Quinoxalinethiol,,,0,not_found
3-Hexadecylthiophene,U360375,,0,no_boiling_point
Tridecafluoroheptanamide,,,0,not_found
Mucochloric Acid,C87569,,0,no_boiling_point
Perfluoroazelaic acid,,,0,not_found
Perfluorotetracosane,C1766412,,0,no_boiling_point
Dithiooxamide,C79403,,0,no_boiling_point
Erythronic acid,,,0,not_found
Nonadecafluorodecanamide,,,0,not_found
2-Fluoromandelic acid,,,0,not_found
Coumestrol dimethyl ether,,,0,not_found
Sanaganone,,,0,not_found
3-Cyanobenzenesulfonamide,,,0,not_found
3-Nitrobenzanthrone,R565241,,0,no_boiling_point
Olivetolic Acid,,,0,not_found
Zeranol,C26538443,,0,no_boiling_point
Fusidic Acid,Fusidic Acid,,0,no_boiling_point
Artenimol,,,0,not_found
4-Nitrobenzothioamide,,,0,not_found
Ethylcarbamodithioic acid,,,0,not_found
Thiopental,C76755,,0,no_boiling_point
Phenylthiohydantoic acid,,,0,not_found
Ganodermanontriol,,,0,not_found
Carbamodithioic acid,,,0,not_found
Fursultiamine,,,0,not_found
Helvolic acid,,,0,not_found
4-Cinnolinethiol,,,0,not_found
8-Hydroxypinoresinol,,,0,not_found
1-Fluorohexadecane,C408388,,0,no_boiling_point
Jalapinolic acid,,,0,not_found
3-Ketoheptanedioic acid,,,0,not_found
Ethyl hexadecyl ether,U406364,,0,no_boiling_point
1-Ethoxyoctadecane,,,0,not_found
2-Anthracenesulfonic acid,,,0,not_found
Avocadyne,,,0,not_found
Trinonylphenol,,,0,not_found
Zingerol,R332833,,0,no_boiling_point
3-Methylhexadecanoic acid,,,0,not_found
Tetrahydrofurandiol,,,0,not_found
Icosanamide,C51360635,,0,no_boiling_point
Docosanal,C57402365,,0,no_boiling_point
Dibehenyl methylamine,,,0,not_found
Perfluoroeicosanoic acid,,,0,not_found
3-Hydroxydecanedioic acid,,,0,not_found
5-Thiazolecarboxamide,,,0,not_found
Phytantriol,,,0,not_found
Dicyclooctylhydroquinone,,,0,not_found
2-Acridinesulfonic acid,,,0,not_found
Tetraethylbarbituric acid,,,0,not_found
Cimbuterol,,,0,not_found
Thiamylal,C77270,,0,no_boiling_point
Methallatal,C115560,,0,no_boiling_point
Thialbarbital,C467367,,0,no_boiling_point
Methitural,C467436,,0,no_boiling_point
Buthalital,,,0,not_found
Thiobutabarbital,,,0,not_found
Aziprotryne,C4658280,,0,no_boiling_point
Cupriethylenediamine,,,0,not_found
Timiperone,,,0,not_found
Dinitropyrene,,,0,not_found
Hydroxyaspartic acid,,,0,not_found
Nicofetamide,,,0,not_found
Dithane,,,0,not_found
Vamorolone,,,0,not_found
Glycodeoxycholic Acid,,,0,not_found
Nemotinic acid,,,0,not_found
2-Iodohexadecanal,,,0,not_found
Bismerthiazol,,,0,not_found
Urochloralic acid,,,0,not_found
Galactaric acid,C526998,,0,no_boiling_point
Fospropofol,,,0,not_found
2-Acridinecarboxylic acid,,,0,not_found
Terphenyldiamine,,,0,not_found
Propaphos sulfone,R544675,,0,no_boiling_point
Pidobenzone,,,0,not_found
Hexaethoxyethane,,,0,not_found
Safingol,,,0,not_found
N-Butylveratramine,,,0,not_found
n-Pentylveratramine,,,0,not_found
Fipronil sulfone,,,0,not_found
Varanic acid,,,0,not_found
12-Ketolithocholic acid,,,0,not_found
Fentrazamide,,,0,not_found
Flucarbazone,,,0,not_found
Cannabinolic acid,,,0,not_found
Isohistamine,,,0,not_found
2-Oxophytanic acid,,,0,not_found
S-Methylpenicillamine,,,0,not_found
5C-aglycone,,,0,not_found
3-Hydroxyundecanoic acid,,,0,not_found
Ajulemic acid,,,0,not_found
Arformoterol,,,0,not_found
Leptospermone,C567759,,0,no_boiling_point
Heptadecanedioic acid,C2424900,,0,no_boiling_point
Mundoserone,,,0,not_found
9-Oxooctadecanoic acid,,,0,not_found
Sativol,,,0,not_found
Xylaric acid,,,0,not_found
Triacontanal,C22725639,,0,no_boiling_point
Octacosanal,C22725640,,0,no_boiling_point
12-Tricosanol,,,0,not_found
Hexacosanal,C26627850,,0,no_boiling_point
Brombuterol,,,0,not_found
Diethylsilanediol,,,0,not_found
Tauroselcholic Acid,,,0,not_found
Asterogenol,,,0,not_found
Octadecyl propyl ether,U406280,,0,no_boiling_point
Zilpaterol,,,0,not_found
Conferone,,,0,not_found
Perfamine,,,0,not_found
Cambinol,,,0,not_found
4beta-Hydroxycholesterol,,,0,not_found
5-Oxododecanoic acid,,,0,not_found
2-Phenoxybenzamide,,,0,not_found
Benzylsulfinic Acid,,,0,not_found
Ichthynone,,,0,not_found
Heptathiazocane,,,0,not_found
Cartorimine,,,0,not_found
Robustone methyl ether,,,0,not_found
4-Nitrocatechol,C3316094,,0,no_boiling_point
Scirpentriol,C2270419,,0,no_boiling_point
N-propyltetradecanamide,,,0,not_found
19-Methyleicosanoic acid,,,0,not_found
Durlettone,,,0,not_found
4-Oxohexanoic acid,,,0,not_found
Betulafolienetriol,,,0,not_found
Diallyldodecylamine,,,0,not_found
Epoxyoxophorone,,,0,not_found
Dehydrodihydrorotenone,,,0,not_found
beta-Toxicarol,,,0,not_found
4-Pyrimidinethiol,,,0,not_found
Dehydroabietamide,,,0,not_found
Isopto cetamide,C144809,,0,no_boiling_point
3-Oxotetracosanoic acid,,,0,not_found
Lycopersiconol,,,0,not_found
Aspartylglutamic acid,,,0,not_found
Hydroxypioglitazone,,,0,not_found
13-Oxooctadecanoic acid,,,0,not_found
Tridecanamide,,,0,not_found
Nonafluoropentanamide,,,0,not_found
N-undecyldodecanamide,,,0,not_found
Diglycylethylenediamine,,,0,not_found
Anhydrobrazilic acid,,,0,not_found
Irigenin trimethyl ether,,,0,not_found
Leucylglutamine,,,0,not_found
Sodium dicyanamide,,,0,not_found
Corossolone,,,0,not_found
Isoarachidic acid,,,0,not_found
Nitranilic acid,,,0,not_found
Gadopentetic acid,,,0,not_found
Reductone,,,0,not_found
beta-Elemolic acid,,,0,not_found
Mycosporine-serinol,,,0,not_found
2-Hexadecylthiophene,,,0,not_found
Trinitrophloroglucinol,,,0,not_found
9-Hydroxydecanoic acid,,,0,not_found
Mundulone,,,0,not_found
3-Propylmalic acid,,,0,not_found
Tolcapone,,,0,not_found
5-Oxoundecanoic acid,,,0,not_found
Picramic Acid,C96913,,0,no_boiling_point
Chromopyrazol,,,0,not_found
Myricardiol,,,0,not_found
Merbarone,,,0,not_found
10-Oxohexadecanoic acid,,,0,not_found
Eugenitol,,,0,not_found
Propyl pyrazole triol,,,0,not_found
5-Methoxydurmillone,,,0,not_found
N-decyltetradecanamide,,,0,not_found
Decahydrogambogic acid,,,0,not_found
13-Aminotridecanoic acid,,,0,not_found
4-Methoxypicolinamide,,,0,not_found
2-Hydroxyeicosanoic acid,,,0,not_found
Diallylsilandiol,,,0,not_found
Cinnamamide,C621794,,0,no_boiling_point
Querciturone,,,0,not_found
3-Aminohexanoic acid,,,0,not_found
Mesuol,,,0,not_found
Dinoprostone,,,0,not_found
Bergaptol,,,0,not_found
4-Maleylacetoacetic acid,,,0,not_found
4-Fumarylacetoacetic acid,,,0,not_found
Linoleic Acid,C60333,,0,no_boiling_point
Calcitriol,,,0,not_found
Vomifoliol,,,0,not_found
Undecaprenol,,,0,not_found
Glutaconic acid,,,0,not_found
3-Nitroacrylic acid,,,0,not_found
Sinapyl alcohol,,,0,not_found
2-Isopropylmaleic acid,,,0,not_found
p-Coumaryl alcohol,,,0,not_found
Hymecromone,C90335,,0,no_boiling_point
Phytonadiol,,,0,not_found
Neochlorogenic acid,,,0,not_found
Bovinic acid,,,0,not_found
Chryseriol,,,0,not_found
Furylfuramide,,,0,not_found
Phytoene,,,0,not_found
zeta-Carotene,,,0,not_found
Neurosporene,,,0,not_found
Beta-Zeacarotene,,,0,not_found
Coumarinic acid,,,0,not_found
Kaempferol,,,0,not_found
Abscisic acid,,,0,not_found
Rescinnamine,C24815245,,0,no_boiling_point
Naringenin chalcone,,,0,not_found
Clavulanic Acid,,,0,not_found
Oxymetholone,C434071,,0,no_boiling_point
Carboprost Tromethamine,,,0,not_found
Entacapone,,,0,not_found
Paricalcitol,,,0,not_found
Doxercalciferol,,,0,not_found
Erucic Acid,C112867,,0,no_boiling_point
Laetisaric acid,,,0,not_found
alpha-Licanic acid,,,0,not_found
Nervonic Acid,,,0,not_found
Petroselinic acid,C593395,,0,no_boiling_point
Vaccenic acid,C693721,,0,no_boiling_point
Dehydrosafynol,,,0,not_found
Falcarindiol,C55297875,,0,no_boiling_point
Jasmonic Acid,,,0,not_found
Hemanthamine,,,0,not_found
Hispidol,,,0,not_found
Isobavachalcone,,,0,not_found
Cephalocerone,,,0,not_found
Umbelliferone,C93356,,0,no_boiling_point
Zearalenone,C18695288,,0,no_boiling_point
Agathisflavone,,,0,not_found
Amentoflavone,,,0,not_found
Cupressuflavone,,,0,not_found
Geraldone,,,0,not_found
Euxanthone,,,0,not_found
Irisxanthone,,,0,not_found
6-Hydroxykaempferol,,,0,not_found
Pachypodol,,,0,not_found
Robustaflavone,,,0,not_found
Bowdichione,,,0,not_found
Coumestrol,,,0,not_found
Oxyresveratrol,,,0,not_found
4'-Prenyloxyresveratrol,,,0,not_found
4-Prenylresveratrol,,,0,not_found
5-Caffeoylshikimic acid,,,0,not_found
Chicoric acid,,,0,not_found
Irilone,,,0,not_found
Irisolidone,,,0,not_found
Rosmarinic acid,,,0,not_found
Shogaol,C555668,,0,no_boiling_point
Luteone,,,0,not_found
Orobol,,,0,not_found
Piscerythramine,,,0,not_found
Sojagol,,,0,not_found
Wedelolactone,,,0,not_found
Wighteone,,,0,not_found
Rutacridone,C17948333,,0,no_boiling_point
Bilobol,C22910867,,0,no_boiling_point
Ellagic Acid,,,0,not_found
Ginkgolic acid,,,0,not_found
Flupenthixol,C2709560,,0,no_boiling_point
Flupentixol,C2709560,,0,no_boiling_point
7-Hydroxyflavone,,,0,not_found
Ubidecarenone,C303980,,0,no_boiling_point
Galangin 3-methyl ether,,,0,not_found
Anandamide,,,0,not_found
N-Arachidonoyl dopamine,,,0,not_found
N-Oleoyldopamine,,,0,not_found
gamma-Oryzanol,,,0,not_found
Alfacalcidol,,,0,not_found
Falecalcitriol,,,0,not_found
Plaunotol,,,0,not_found
Domoic Acid,,,0,not_found
10-Nitrolinoleic acid,,,0,not_found
Adrenoyl-ethanolamine,,,0,not_found
2-Arachidonoylglycerol,,,0,not_found
Selachyl alcohol,,,0,not_found
Acotiamide,,,0,not_found
4-Hydroxyestradiol,,,0,not_found
11-Ketotestosterone,,,0,not_found
Misoprostol,,,0,not_found
Epoprostenol,,,0,not_found
Dinoprost Tromethamine,,,0,not_found
Linoelaidic Acid,C506218,,0,no_boiling_point
Ceroplastic acid,,,0,not_found
Hexatriacontanoic acid,,,0,not_found
Heptatriacontanoic acid,,,0,not_found
Octatriacontanoic acid,,,0,not_found
Hexatetracontanoic acid,,,0,not_found
18-Methyleicosanoic acid,,,0,not_found
20-Methyldocosanoic acid,,,0,not_found
22-Methyltricosanoic acid,,,0,not_found
Isomontanic acid,,,0,not_found
Neostearic acid,,,0,not_found
6-Methyloctadecanoic acid,,,0,not_found
2-Heptadecenoic acid,C20753893,,0,no_boiling_point
Octadecenoic acid,,,0,not_found
3-Octadecenoic acid,,,0,not_found
4-Octadecenoic acid,,,0,not_found
Petroselaidic acid,,,0,not_found
7Z-octadecenoic acid,,,0,not_found
7-Octadecenoic acid,,,0,not_found
8-Octadecenoic acid,,,0,not_found
12-Octadecenoic acid,,,0,not_found
17Z-octadecenoic acid,,,0,not_found
2-Nonadecenoic acid,,,0,not_found
Gadoleic Acid,,,0,not_found
Gondoic Acid,,,0,not_found
Cetoleic Acid,,,0,not_found
Brassidic Acid,C506332,,0,no_boiling_point
9-Hexacosenoic acid,,,0,not_found
Ximenic acid,,,0,not_found
19Z-octacosenoic acid,,,0,not_found
Lumequeic acid,,,0,not_found
23Z-dotriacontenoic acid,,,0,not_found
5-Hydroxyheptanoic acid,,,0,not_found
6-Hydroxyoctanoic acid,,,0,not_found
2-Hydroxynonanoic acid,,,0,not_found
7-Hydroxy pelargonic acid,,,0,not_found
2-Hydroxyundecanoic acid,,,0,not_found
4-Hydroxydodecanoic acid,,,0,not_found
2-Hydroxytridecanoic acid,,,0,not_found
14-Hydroxy stearic acid,,,0,not_found
15-Hydroxy stearic acid,,,0,not_found
17-Hydroxystearic acid,,,0,not_found
3-Hydroxyicosanoic acid,,,0,not_found
20-Hydroxyicosanoic acid,,,0,not_found
3-Hydroxydocosanoic acid,,,0,not_found
22-Hydroxydocosanoic acid,,,0,not_found
Ipurolic acid,,,0,not_found
Digitoxic acid,,,0,not_found
Ambrettolic acid,,,0,not_found
Coriolic acid,,,0,not_found
alpha-Artemisic acid,,,0,not_found
alpha-Kamlolenic acid,,,0,not_found
beta-Kamlolenic acid,,,0,not_found
2-Oxoheptanoic acid,,,0,not_found
4-Oxoheptanoic acid,,,0,not_found
5-Oxononanoic acid,,,0,not_found
6-Oxononanoic acid,,,0,not_found
3-Oxodecanoic acid,,,0,not_found
6-Oxodecanoic acid,,,0,not_found
4-Oxoundecanoic acid,,,0,not_found
9-Oxoundecanoic acid,,,0,not_found
4-Oxododecanoic acid,,,0,not_found
2-Keto tridecanoic acid,,,0,not_found
10-Oxotridecanoic acid,,,0,not_found
4-Keto myristic acid,,,0,not_found
10-Keto myristic acid,,,0,not_found
2-Keto palmitic acid,,,0,not_found
3-Oxohexadecanoic acid,,,0,not_found
4-Oxohexadecanoic acid,,,0,not_found
5-Oxohexadecanoic acid,,,0,not_found
7-Keto palmitic acid,,,0,not_found
8-Oxohexadecanoic acid,,,0,not_found
9-Oxohexadecanoic acid,,,0,not_found
11-Oxohexadecanoic acid,,,0,not_found
9-Keto margaric acid,,,0,not_found
3-Oxooctadecanoic acid,,,0,not_found
Traumatic Acid,,,0,not_found
Prostaglandin E1 alcohol,,,0,not_found
PGF2alpha methyl ether,,,0,not_found
PGF2alpha dimethyl amide,,,0,not_found
Bimatoprost Acid,,,0,not_found
Gummiferol,,,0,not_found
9-Octadecenal,C5090415,,0,no_boiling_point
11-Octadecenal,,,0,not_found
15-Tetracosenal,,,0,not_found
Oleamide,C301020,,0,no_boiling_point
Arachidonamide,,,0,not_found
N-amyl arachidohoyl amine,,,0,not_found
Linoleoyl ethanolamide,,,0,not_found
n-Oleoylethanolamine,,,0,not_found
alpha-Methyl anandamide,,,0,not_found
C20 Dihydroceramide,,,0,not_found
Calcifediol,,,0,not_found
Tacalcitol,,,0,not_found
trans-Calcitriol,,,0,not_found
1beta-Calcitriol,,,0,not_found
Secalciferol,,,0,not_found
Allolithocholic acid,,,0,not_found
Hyodeoxycholic Acid,,,0,not_found
Murideoxycholic acid,,,0,not_found
Isohyodeoxycholic acid,,,0,not_found
Allochenodeoxycholic acid,,,0,not_found
Allodeoxycholic acid,,,0,not_found
Vulpecholic acid,,,0,not_found
omega-Muricholic acid,,,0,not_found
alpha-Muricholic acid,,,0,not_found
beta-Muricholic acid,,,0,not_found
Haemulcholic acid,,,0,not_found
Avicholic acid,,,0,not_found
Bitocholic acid,,,0,not_found
1beta-Hydroxycholic acid,,,0,not_found
Dehydrolithocholic acid,,,0,not_found
3-Oxocholic acid,,,0,not_found
Lithocholenic acid,,,0,not_found
Petromyzonol,,,0,not_found
Cygnocholic acid,,,0,not_found
5alpha-Dermophol,,,0,not_found
5beta-Dermophol,,,0,not_found
Myxinol,,,0,not_found
Bufol,,,0,not_found
Chimaerol,,,0,not_found
5beta-Cyprinol,,,0,not_found
Mitolactol,,,0,not_found
Nivalenol,,,0,not_found
Chlorofumaric acid,,,0,not_found
Oleyl alcohol,C143282,,0,no_boiling_point
Brisoral,,,0,not_found
Chlormadinone,C302227,,0,no_boiling_point
Cyproterone,,,0,not_found
Dorzolamide,,,0,not_found
Hydromorphone,C466999,,0,no_boiling_point
Meprednisone,,,0,not_found
Nabilone,C51022710,,0,no_boiling_point
Nalmefene,C55096269,,0,no_boiling_point
Naloxone,,,0,not_found
Oxycodone,C76426,,0,no_boiling_point
Oxymorphone,C76415,,0,no_boiling_point
Phytonadione,C84800,,0,no_boiling_point
Vinbarbital,C125428,,0,no_boiling_point
alpha-Zearalenol,,,0,not_found
Seocalcitol,,,0,not_found
Lexacalcitol,,,0,not_found
Calcipotriene,,,0,not_found
Lysophosphatidylglycerol,,,0,not_found
Becocalcidiol,,,0,not_found
Alclometasone,,,0,not_found
Clobetasol,,,0,not_found
Clocortolone,,,0,not_found
Desoximetasone,,,0,not_found
Fluticasone,Fluticasone,,0,no_boiling_point
Halobetasol,,,0,not_found
Unoprostone,,,0,not_found
11-Dehydrocorticosterone,,,0,not_found
Rimexolone,,,0,not_found
Onapristone,,,0,not_found
Zuclopenthixol,C53772831,,0,no_boiling_point
