strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
prob_in_spec,11,92,1186,472.15,True,73,"3,4-Diethyloctane"
prob_in_spec,11,93,1241,457.15,True,74,"2,2,5,5-Tetramethyloctane"
prob_in_spec,11,94,302,469.05,True,75,Undecane
prob_in_spec,11,95,912,470.15,True,76,5-Propylnonane
prob_in_spec,11,96,1192,452.15,False,76,"3,5-Diethylheptane"
prob_in_spec,11,97,8,467.85,True,77,1-Octanol
prob_in_spec,11,98,1132,454.15,True,78,"4-Ethyl-3,5-dimethylheptane"
prob_in_spec,11,99,1182,453.15,True,79,4-Ethyl-5-methyloctane
prob_in_spec,11,100,825,463.85,True,80,2-Methyl-1-decene
prob_in_spec,11,101,699,465.45,True,81,5-Undecene
prob_in_spec,11,102,696,455.44,True,82,Undec-4-ene
prob_in_spec,11,103,1021,466.15,True,83,(E)-4-Undecene
prob_in_spec,11,104,278,465.85,True,84,1-Undecene
prob_in_spec,11,105,840,471.15,True,85,"2,5-Dimethyldecane"
prob_in_spec,11,106,734,462.0,True,86,"1,10-Undecadiene"
prob_in_spec,11,107,1076,456.28,True,87,"1,3,5-Undecatriene"
prob_in_spec,11,108,997,460.44,True,88,"(E,E,Z)-Undeca-1,3,5,8-tetraene"
prob_in_spec,11,109,1096,453.15,True,89,"2,7-Dimethylnonane"
prob_in_spec,11,110,919,473.15,False,89,"3,4,7-Trimethylnonane"
prob_in_spec,11,111,1097,456.15,True,90,"2,8-Dimethylnonane"
prob_in_spec,11,112,668,514.75,False,90,"3,7-Dimethylocta-1,5,7-trien-3-ol"
prob_in_spec,11,113,1072,514.75,False,90,Hotrienol
prob_in_spec,11,114,754,482.28,False,90,"2,9-Dimethyl-5-decyne"
prob_in_spec,11,115,728,486.15,False,90,6-Dodecyne
prob_in_spec,11,116,930,455.15,True,91,"3,3-Dimethylnonane"
prob_in_spec,11,117,1216,457.05,True,92,"3,3-Dimethylnon-4-yne"
prob_in_spec,11,118,925,472.15,True,93,"4,7-Dimethyldecane"
prob_in_spec,11,119,523,459.00627,True,94,"2,2,7,7-Tetramethyloctane"
prob_in_spec,11,120,1022,478.54,False,94,3-Octen-2-OL
prob_in_spec,11,121,400,459.15,True,95,6-Methylhept-5-en-2-ol
prob_in_spec,11,122,1158,472.15,True,96,"4,4-Dimethyldecane"
prob_in_spec,11,123,491,456.1,True,97,Hept-2-en-1-ol
prob_in_spec,11,124,990,442.65,False,97,3-Hepten-1-ol
prob_in_spec,11,125,670,457.15,True,98,4-Methyl-1-heptanol
prob_in_spec,11,126,974,447.15,False,98,(S)-1-Octen-3-ol
prob_in_spec,11,127,1070,448.15,False,98,2-Octen-4-ol
prob_in_spec,11,128,481,431.55,False,98,"4-Methylhepta-1,6-dien-4-ol"
prob_in_spec,11,129,1074,460.26,True,99,"Hepta-2,4-dien-1-ol"
prob_in_spec,11,130,330,451.15,False,99,5-Decyne
prob_in_spec,11,131,394,451.65,False,99,2-Octanol
prob_in_spec,11,132,972,449.65,False,99,(S)-(+)-2-Octanol
prob_in_spec,11,133,1133,464.89743,True,100,"2,2,3,4-Tetramethylhexan-3-ol"
prob_in_spec,11,134,712,471.09534,True,101,5-Undecyne
